Election Date,Election Name,County ID,County Name,Ballot Measure ID,Ballot Measure Name,Ballot Measure Title,Yes Votes,No Votes
11/8/2022,"November 8, 2022, General Election",1,Alameda,1.90E+11,Proposition 1,Constitutional Right to Reproductive Freedom,"390,357","74,916"
11/8/2022,"November 8, 2022, General Election",1,Alameda,1.90E+11,Proposition 26,Sports Wagering on Tribal Lands,"160,512","310,131"
11/8/2022,"November 8, 2022, General Election",1,Alameda,1.90E+11,Proposition 27,Online Sports Wagering Outside of Tribal Lands,"75,454","404,086"
11/8/2022,"November 8, 2022, General Election",1,Alameda,1.90E+11,Proposition 28,Public School Arts and Music Education Funding,"358,189","123,275"
11/8/2022,"November 8, 2022, General Election",1,Alameda,1.90E+11,Proposition 29,Regulates Kidney Dialysis Clinics,"182,697","290,746"
11/8/2022,"November 8, 2022, General Election",1,Alameda,1.90E+11,Proposition 30,Tax to Fund ZEV/Wildfire Programs,"256,797","224,613"
11/8/2022,"November 8, 2022, General Election",1,Alameda,1.90E+11,Proposition 31,Prohibition on Sale of Certain Tobacco Products,"358,943","115,606"
11/8/2022,"November 8, 2022, General Election",2,Alpine,1.90E+11,Proposition 1,Constitutional Right to Reproductive Freedom,427,169
11/8/2022,"November 8, 2022, General Election",2,Alpine,1.90E+11,Proposition 26,Sports Wagering on Tribal Lands,225,359
11/8/2022,"November 8, 2022, General Election",2,Alpine,1.90E+11,Proposition 27,Online Sports Wagering Outside of Tribal Lands,109,490
11/8/2022,"November 8, 2022, General Election",2,Alpine,1.90E+11,Proposition 28,Public School Arts and Music Education Funding,409,183
11/8/2022,"November 8, 2022, General Election",2,Alpine,1.90E+11,Proposition 29,Regulates Kidney Dialysis Clinics,272,317
11/8/2022,"November 8, 2022, General Election",2,Alpine,1.90E+11,Proposition 30,Tax to Fund ZEV/Wildfire Programs,322,271
11/8/2022,"November 8, 2022, General Election",2,Alpine,1.90E+11,Proposition 31,Prohibition on Sale of Certain Tobacco Products,425,165
11/8/2022,"November 8, 2022, General Election",3,Amador,1.90E+11,Proposition 1,Constitutional Right to Reproductive Freedom,"8,974","9,216"
11/8/2022,"November 8, 2022, General Election",3,Amador,1.90E+11,Proposition 26,Sports Wagering on Tribal Lands,"3,947","14,314"
11/8/2022,"November 8, 2022, General Election",3,Amador,1.90E+11,Proposition 27,Online Sports Wagering Outside of Tribal Lands,"2,160","16,189"
11/8/2022,"November 8, 2022, General Election",3,Amador,1.90E+11,Proposition 28,Public School Arts and Music Education Funding,"9,316","8,767"
11/8/2022,"November 8, 2022, General Election",3,Amador,1.90E+11,Proposition 29,Regulates Kidney Dialysis Clinics,"3,590","14,569"
11/8/2022,"November 8, 2022, General Election",3,Amador,1.90E+11,Proposition 30,Tax to Fund ZEV/Wildfire Programs,"5,604","12,643"
11/8/2022,"November 8, 2022, General Election",3,Amador,1.90E+11,Proposition 31,Prohibition on Sale of Certain Tobacco Products,"9,536","8,684"
11/8/2022,"November 8, 2022, General Election",4,Butte,1.90E+11,Proposition 1,Constitutional Right to Reproductive Freedom,"41,855","29,072"
11/8/2022,"November 8, 2022, General Election",4,Butte,1.90E+11,Proposition 26,Sports Wagering on Tribal Lands,"21,989","48,375"
11/8/2022,"November 8, 2022, General Election",4,Butte,1.90E+11,Proposition 27,Online Sports Wagering Outside of Tribal Lands,"10,908","60,169"
11/8/2022,"November 8, 2022, General Election",4,Butte,1.90E+11,Proposition 28,Public School Arts and Music Education Funding,"42,818","28,098"
11/8/2022,"November 8, 2022, General Election",4,Butte,1.90E+11,Proposition 29,Regulates Kidney Dialysis Clinics,"16,478","54,015"
11/8/2022,"November 8, 2022, General Election",4,Butte,1.90E+11,Proposition 30,Tax to Fund ZEV/Wildfire Programs,"29,376","41,716"
11/8/2022,"November 8, 2022, General Election",4,Butte,1.90E+11,Proposition 31,Prohibition on Sale of Certain Tobacco Products,"39,346","31,590"
11/8/2022,"November 8, 2022, General Election",5,Calaveras,1.90E+11,Proposition 1,Constitutional Right to Reproductive Freedom,"10,532","10,266"
11/8/2022,"November 8, 2022, General Election",5,Calaveras,1.90E+11,Proposition 26,Sports Wagering on Tribal Lands,"5,261","15,596"
11/8/2022,"November 8, 2022, General Election",5,Calaveras,1.90E+11,Proposition 27,Online Sports Wagering Outside of Tribal Lands,"2,572","18,405"
11/8/2022,"November 8, 2022, General Election",5,Calaveras,1.90E+11,Proposition 28,Public School Arts and Music Education Funding,"10,852","10,031"
11/8/2022,"November 8, 2022, General Election",5,Calaveras,1.90E+11,Proposition 29,Regulates Kidney Dialysis Clinics,"4,280","16,440"
11/8/2022,"November 8, 2022, General Election",5,Calaveras,1.90E+11,Proposition 30,Tax to Fund ZEV/Wildfire Programs,"6,686","14,273"
11/8/2022,"November 8, 2022, General Election",5,Calaveras,1.90E+11,Proposition 31,Prohibition on Sale of Certain Tobacco Products,"10,862","10,090"
11/8/2022,"November 8, 2022, General Election",6,Colusa,1.90E+11,Proposition 1,Constitutional Right to Reproductive Freedom,"2,490","2,939"
11/8/2022,"November 8, 2022, General Election",6,Colusa,1.90E+11,Proposition 26,Sports Wagering on Tribal Lands,"1,270","4,190"
11/8/2022,"November 8, 2022, General Election",6,Colusa,1.90E+11,Proposition 27,Online Sports Wagering Outside of Tribal Lands,877,"4,601"
11/8/2022,"November 8, 2022, General Election",6,Colusa,1.90E+11,Proposition 28,Public School Arts and Music Education Funding,"2,787","2,662"
11/8/2022,"November 8, 2022, General Election",6,Colusa,1.90E+11,Proposition 29,Regulates Kidney Dialysis Clinics,"1,186","4,213"
11/8/2022,"November 8, 2022, General Election",6,Colusa,1.90E+11,Proposition 30,Tax to Fund ZEV/Wildfire Programs,"1,475","3,923"
11/8/2022,"November 8, 2022, General Election",6,Colusa,1.90E+11,Proposition 31,Prohibition on Sale of Certain Tobacco Products,"2,601","2,796"
