year,county_name,yes_count,no_count,total_count,yes_perc,no_perc
2018,Alameda,275550.0,280735.0,556285.0,0.4953396190801478,0.5046603809198522
2018,Alpine,298.0,281.0,579.0,0.5146804835924007,0.4853195164075993
2018,Amador,5256.0,11775.0,17031.0,0.3086137044213493,0.6913862955786507
2018,Butte,30908.0,55394.0,86302.0,0.3581377024866167,0.6418622975133832
2018,Calaveras,6688.0,14224.0,20912.0,0.3198163733741392,0.6801836266258607
2018,Colusa,1598.0,4019.0,5617.0,0.2844935018693252,0.7155064981306747
2018,Contra Costa,173937.0,235739.0,409676.0,0.4245721008797196,0.5754278991202804
2018,Del Norte,3607.0,4425.0,8032.0,0.4490786852589641,0.5509213147410359
2018,El Dorado,29038.0,56630.0,85668.0,0.3389597049073166,0.6610402950926834
2018,Fresno,78831.0,167707.0,246538.0,0.319751924652589,0.6802480753474109
2018,Glenn,2114.0,6067.0,8181.0,0.2584036181395917,0.7415963818604082
2018,Humboldt,25462.0,25034.0,50496.0,0.5042379594423321,0.4957620405576679
2018,Imperial,13498.0,19135.0,32633.0,0.4136303741611252,0.5863696258388748
2018,Inyo,2265.0,4748.0,7013.0,0.322971624126622,0.677028375873378
2018,Kern,58234.0,139818.0,198052.0,0.2940338900894714,0.7059661099105285
2018,Kings,8576.0,21066.0,29642.0,0.2893192092301464,0.7106807907698536
2018,Lake,7894.0,12549.0,20443.0,0.3861468473316049,0.613853152668395
2018,Lassen,2630.0,6138.0,8768.0,0.2999543795620438,0.7000456204379562
2018,Los Angeles,1192936.0,1659512.0,2852448.0,0.4182148105767397,0.5817851894232603
2018,Madera,11257.0,26455.0,37712.0,0.2984991514637251,0.7015008485362749
2018,Marin,52537.0,70415.0,122952.0,0.427296831283753,0.5727031687162469
2018,Mariposa,2651.0,5350.0,8001.0,0.3313335833020872,0.6686664166979127
2018,Mendocino,15032.0,17085.0,32117.0,0.4680387333810754,0.5319612666189245
2018,Merced,19394.0,38847.0,58241.0,0.3329956559811816,0.6670043440188184
2018,Modoc,866.0,2504.0,3370.0,0.256973293768546,0.7430267062314541
2018,Mono,1984.0,2681.0,4665.0,0.4252947481243301,0.5747052518756699
2018,Monterey,49132.0,64525.0,113657.0,0.432283097389514,0.5677169026104859
2018,Napa,22411.0,31864.0,54275.0,0.4129157070474435,0.5870842929525564
2018,Nevada,20462.0,31811.0,52273.0,0.3914449142004476,0.6085550857995523
2018,Orange,395773.0,652270.0,1048043.0,0.3776304979852926,0.6223695020147074
2018,Placer,54794.0,115496.0,170290.0,0.3217687474308532,0.6782312525691467
2018,Plumas,2983.0,5975.0,8958.0,0.3329984371511498,0.6670015628488501
2018,Riverside,211932.0,416214.0,628146.0,0.3373928991030747,0.6626071008969252
2018,Sacramento,194264.0,306707.0,500971.0,0.3877749410644528,0.6122250589355471
2018,San Benito,7268.0,12351.0,19619.0,0.3704572098475967,0.6295427901524033
2018,San Bernardino,179394.0,347793.0,527187.0,0.3402853257003682,0.6597146742996318
2018,San Diego,448644.0,665096.0,1113740.0,0.4028265124714924,0.5971734875285075
2018,San Francisco,202728.0,149499.0,352227.0,0.5755606469691421,0.4244393530308579
2018,San Joaquin,70974.0,119885.0,190859.0,0.3718661420210731,0.6281338579789268
2018,San Luis Obispo,44772.0,76904.0,121676.0,0.3679608139649561,0.6320391860350438
2018,San Mateo,118561.0,156221.0,274782.0,0.4314729494653944,0.5685270505346056
2018,Santa Barbara,61872.0,87794.0,149666.0,0.4134005051247444,0.5865994948752555
2018,Santa Clara,263653.0,322779.0,586432.0,0.4495883580705009,0.5504116419294991
2018,Santa Cruz,52125.0,62578.0,114703.0,0.4544344960463109,0.5455655039536891
2018,Shasta,17900.0,50429.0,68329.0,0.2619678321064262,0.7380321678935737
2018,Sierra,601.0,1000.0,1601.0,0.3753903810118675,0.6246096189881324
2018,Siskiyou,7023.0,10402.0,17425.0,0.4030416068866571,0.5969583931133429
2018,Solano,56427.0,86555.0,142982.0,0.3946440810731421,0.6053559189268579
2018,Sonoma,85963.0,117628.0,203591.0,0.4222337922599722,0.5777662077400278
2018,Stanislaus,51792.0,101634.0,153426.0,0.3375699034062023,0.6624300965937977
2018,Sutter,8555.0,20299.0,28854.0,0.2964926873223816,0.7035073126776183
2018,Tehama,5223.0,15200.0,20423.0,0.2557410762375753,0.7442589237624248
2018,Trinity,1685.0,3503.0,5188.0,0.3247879722436391,0.6752120277563608
2018,Tulare,28109.0,69542.0,97651.0,0.2878516349038924,0.7121483650961076
2018,Tuolumne,7554.0,15546.0,23100.0,0.327012987012987,0.672987012987013
2018,Ventura,114221.0,187357.0,301578.0,0.3787444707505189,0.621255529249481
2018,Yolo,29461.0,41882.0,71343.0,0.412948712557644,0.5870512874423559
2018,Yuba,5967.0,12845.0,18812.0,0.3171911545821816,0.6828088454178184
2020,Alameda,329873.0,413277.0,743150.0,0.4438848146403821,0.5561151853596178
2020,Alpine,344.0,369.0,713.0,0.4824684431977559,0.517531556802244
2020,Amador,4615.0,17149.0,21764.0,0.2120474177540893,0.7879525822459107
2020,Butte,29338.0,70174.0,99512.0,0.2948187153308144,0.7051812846691856
2020,Calaveras,5538.0,20896.0,26434.0,0.209502912915185,0.790497087084815
2020,Colusa,2022.0,5779.0,7801.0,0.2591975387770798,0.7408024612229201
2020,Contra Costa,212213.0,350108.0,562321.0,0.3773876486917614,0.6226123513082386
2020,Del Norte,3793.0,7345.0,11138.0,0.3405458789728856,0.6594541210271144
2020,El Dorado,28619.0,83829.0,112448.0,0.2545087507114399,0.74549124928856
