,COUNTY,PYMT_AMT,PYMT_PCT,PYMT_PC,PYMT_PER_USER,STDZ_PYMT_AMT,STDZ_PYMT_PCT,STDZ_PYMT_PC,STDZ_PYMT_PER_USER,USER_CNT,USER_PCT,VISITS_PER_1000
0,Alameda,49365078.83111111,0.03913333333333333,491.66999999999996,35489.572222222225,36127706.82,0.041,359.78444444444443,25936.89222222222,1392.2222222222222,0.013866666666666666,1964.337088888889
1,Alpine,,,,,,,,,0.0,,
2,Amador,717029.5733333334,0.00878888888888889,90.12,27873.103333333333,564567.3866666667,0.009211111111111111,71.01222222222222,22052.695555555558,25.77777777777778,0.0032444444444444443,491.6727666666667
3,Butte,6965948.983333333,0.014944444444444446,164.7611111111111,25305.245555555553,6421417.154444445,0.01637777777777778,151.80666666666667,23320.30888888889,276.6666666666667,0.006511111111111111,813.2151666666666
4,Calaveras,1313729.3966666667,0.01241111111111111,122.51000000000002,28538.923333333332,1102733.762222222,0.013788888888888889,102.99888888888889,23915.678888888888,46.22222222222222,0.0043,642.3796777777778
5,Colusa,1172513.0188888889,0.0361,373.0711111111111,29090.257777777777,992423.24,0.03963333333333333,316.46333333333337,24678.324444444446,40.22222222222222,0.012888888888888889,1731.0947666666666
6,Contra Costa,33463269.63444444,0.03462222222222222,426.2577777777778,35072.26777777777,24465258.06,0.03502222222222222,311.74888888888887,25628.983333333334,953.7777777777778,0.012166666666666666,1660.1546444444443
7,Del Norte,568831.0422222222,0.011444444444444445,103.32444444444444,27737.69,492416.8822222223,0.012333333333333333,89.54444444444444,24075.272222222222,20.444444444444443,0.003711111111111111,545.4355777777778
8,El Dorado,3193972.717777778,0.01271111111111111,129.5922222222222,29682.59333333333,2524095.2466666666,0.013188888888888889,102.47111111111111,23464.84,107.44444444444444,0.004366666666666667,557.0223222222222
9,Fresno,29191201.72,0.03445555555555555,384.6788888888889,25871.303333333333,27727790.611111112,0.03818888888888889,365.3566666666667,24571.78111111111,1128.5555555555557,0.014866666666666667,2058.569888888889
10,Glenn,1354223.2777777778,0.023744444444444443,263.3966666666667,27043.616666666665,1253852.3877777779,0.0265,243.89000000000001,25059.416666666668,49.888888888888886,0.00971111111111111,1332.2846555555557
11,Humboldt,3120222.6100000003,0.014055555555555556,122.11888888888888,27511.14111111111,2671533.73,0.015322222222222221,104.6511111111111,23581.688888888886,113.11111111111111,0.004422222222222222,557.8094222222221
12,Imperial,12854103.13,0.049977777777777774,615.8044444444445,24633.135555555556,13311173.907777779,0.05918888888888888,637.0244444444445,25503.20666666667,521.7777777777778,0.02492222222222222,3439.1933777777776
13,Inyo,662857.6411111112,0.014133333333333335,165.54666666666665,27422.96888888889,573822.3500000001,0.01637777777777778,143.30888888888887,23802.039999999997,24.444444444444443,0.0060999999999999995,785.9798
14,Kern,26516422.253333334,0.036444444444444446,441.2788888888889,27156.303333333333,23994246.22,0.03913333333333333,399.3177777777778,24550.174444444445,979.5555555555555,0.016311111111111113,2227.9036333333333
15,Kings,5041881.465555555,0.03905555555555555,413.31,24538.902222222223,4831468.557777777,0.04351111111111111,396.0788888888889,23514.46111111111,205.77777777777777,0.016866666666666665,2296.088333333333
16,Lake,3177202.6088888887,0.01818888888888889,213.99333333333334,27562.32222222222,2700706.6144444444,0.020644444444444444,181.82111111111112,23363.741111111114,116.66666666666667,0.007844444444444444,980.4273111111112
17,Lassen,379477.03,0.009255555555555555,83.37555555555555,21398.595555555556,372605.57333333336,0.010777777777777778,81.79555555555555,21070.82222222222,17.555555555555557,0.0038666666666666663,557.3503222222222
18,Los Angeles,298837185.8522222,0.0345,533.4233333333334,27831.735555555555,261421744.87444443,0.03718888888888889,466.7377777777778,24317.035555555558,10766.0,0.019233333333333335,2555.3102555555556
19,Madera,3632877.7655555555,0.027744444444444447,271.73,22460.364444444444,3912746.512222222,0.03422222222222222,292.66333333333336,24192.496666666666,161.77777777777777,0.0121,1672.0155888888887
20,Marin,3725868.5766666667,0.01161111111111111,126.42888888888888,35489.77777777778,2696935.9433333334,0.011655555555555554,91.45777777777778,25423.305555555555,105.44444444444444,0.003577777777777778,469.76201111111106
21,Mariposa,405260.9166666667,0.009711111111111111,98.05555555555556,24861.09888888889,344107.8111111111,0.010233333333333334,83.28555555555555,21131.287777777776,16.0,0.0038777777777777777,448.9399222222222
22,Mendocino,3640183.7288888893,0.019344444444444445,190.42222222222222,30184.884444444448,2982674.0488888887,0.02121111111111111,156.1277777777778,24758.256666666668,120.66666666666667,0.006311111111111111,890.1902
23,Merced,12245686.16888889,0.03808888888888889,429.86888888888893,28376.61,10467203.3,0.04165555555555556,367.48333333333335,24251.843333333334,432.0,0.015166666666666669,2034.0366222222224
24,Modoc,,,,,,,,,0.0,,
25,Mono,,,,,,,,,0.0,,
26,Monterey,17017119.39777778,0.028955555555555554,316.71666666666664,33745.403333333335,12552273.113333333,0.029544444444444446,233.8066666666667,24834.915555555555,506.22222222222223,0.009444444444444445,1324.7644777777778
27,Napa,3393723.1766666668,0.019388888888888886,223.95333333333332,30084.76666666667,2609804.5511111114,0.019955555555555553,172.2211111111111,23191.366666666665,112.66666666666667,0.0074111111111111105,916.0134555555555
28,Nevada,2129091.1833333336,0.010633333333333335,95.07777777777778,29204.842222222225,1810577.0955555555,0.011455555555555556,80.89555555555556,24812.16777777778,73.11111111111111,0.0032555555555555554,467.8432444444445
29,Orange,61803448.236666664,0.024733333333333333,309.93,26899.655555555553,55315488.631111115,0.02608888888888889,277.49111111111114,24064.91888888889,2298.222222222222,0.011533333333333333,1547.5928666666669
30,Placer,6785139.106666666,0.017955555555555554,189.87,32757.058888888892,5174713.417777778,0.01768888888888889,144.86111111111111,24952.743333333332,207.44444444444446,0.005811111111111111,796.5432666666667
31,Plumas,380818.47444444447,0.007522222222222222,70.51111111111112,23026.754444444447,361821.48666666663,0.008577777777777776,66.98222222222222,21887.478888888887,16.666666666666668,0.003088888888888889,453.6254555555555
32,Riverside,45098859.516666666,0.030588888888888888,372.78555555555556,26794.25222222222,40958853.711111106,0.03287777777777778,338.73555555555555,24340.867777777778,1681.2222222222222,0.013911111111111112,1913.1517666666668
33,Sacramento,49014238.27,0.044333333333333336,519.2744444444444,34358.80888888889,37317250.22111111,0.04627777777777778,394.9755555555555,26124.475555555557,1429.5555555555557,0.015122222222222223,2095.1594999999998
34,San Benito,2926958.784444445,0.0359,432.6011111111111,37610.17,2098669.321111111,0.03663333333333333,310.41999999999996,27060.26,76.66666666666667,0.011366666666666667,1778.5463444444442
35,San Bernardino,49073987.49333333,0.04547777777777778,589.0933333333334,27367.86111111111,44767213.419999994,0.05045555555555556,537.3344444444444,24943.20333333333,1795.6666666666667,0.021555555555555557,3051.515
36,San Diego,73774738.81,0.031111111111111114,357.96777777777777,28946.52888888889,65428464.28222222,0.03267777777777778,317.57,25635.125555555554,2554.4444444444443,0.012400000000000001,1816.8507333333334
37,San Francisco,22704673.975555554,0.027855555555555554,337.79999999999995,33310.57777777778,16516148.713333331,0.03144444444444445,245.5711111111111,24177.283333333333,684.1111111111111,0.010166666666666666,1379.429588888889
38,San Joaquin,26314529.90888889,0.04331111111111111,502.3988888888889,30528.58,21605023.046666667,0.046533333333333336,411.81111111111113,25016.756666666668,864.3333333333334,0.016444444444444446,2179.718188888889
39,San Luis Obispo,5571125.949999999,0.012577777777777778,113.95333333333332,25994.065555555557,4759521.934444444,0.012722222222222223,97.43,22208.16777777778,214.22222222222223,0.004388888888888889,622.4439333333333
40,San Mateo,16809889.507777777,0.029044444444444446,319.74111111111114,34599.21666666667,12282816.811111111,0.030077777777777776,233.5111111111111,25240.814444444448,487.44444444444446,0.009266666666666666,1367.4904555555556
41,Santa Barbara,13763324.896666666,0.02348888888888889,239.89444444444447,29661.558888888892,11598617.871111112,0.024133333333333333,202.3722222222222,25021.29111111111,463.0,0.008088888888888889,1139.8732666666665
