year,county_name,eligible,total_registered,democratic_perc,republican_perc,american independent_perc,green_perc,libertarian_perc,peace and freedom_perc,unknown_perc,other_perc,no party preference_perc
2018,Alameda,1089154,881491,0.5566511739768188,0.1104685130080738,0.0186195888557001,0.007601892702251,0.0052864975365602,0.0030493788365394,3.4033245943520694e-05,0.0066455584912381,0.2916433633468748
2018,Alpine,939,758,0.4116094986807387,0.2704485488126649,0.0329815303430079,0.0065963060686015,0.0079155672823219,0.0026385224274406,0.0,0.0039577836411609,0.2638522427440633
2018,Amador,27117,22305,0.2879623402824479,0.4399013674064111,0.0422326832548755,0.0045729657027572,0.0132257341403272,0.0027348128222371,0.0002689979825151,0.0022864828513786,0.20681461555705
2018,Butte,171771,122741,0.3490520689908017,0.3418173226550215,0.0345524315428422,0.0076258137052818,0.0112594813469011,0.0031203917191484,0.0026234102704067,0.0097522425269469,0.2401968372426491
2018,Calaveras,36101,29591,0.2736980838768544,0.414450339630293,0.0454530093609543,0.0063532830928322,0.0151059443749788,0.0031766415464161,0.0029400831333851,0.0079078098070359,0.2309148051772498
2018,Colusa,12552,8792,0.3119881710646042,0.3939945404913558,0.0288898999090081,0.0022747952684258,0.0080755232029117,0.0023885350318471,0.0,0.0006824385805277,0.2517060964513193
2018,Contra Costa,759693,621309,0.4886312607736247,0.1986531661379442,0.0258438232827787,0.0047383829946129,0.0067454358459317,0.0026138362714848,0.0018267882808715,0.0016062860830923,0.2693410203296588
2018,Del Norte,18039,14150,0.3048763250883392,0.3559717314487632,0.0443816254416961,0.0074911660777385,0.0106007067137809,0.0058657243816254,7.06713780918728e-05,0.0081978798586572,0.2625441696113074
2018,El Dorado,141268,121192,0.287452967192554,0.4023780447554294,0.0398128589345831,0.0055779259357053,0.0140685853851739,0.0024836622879397,0.0006683609479173,0.0076325169978216,0.2399250775628754
2018,Fresno,597497,456891,0.3785476185786106,0.3323418495877572,0.0277484126410894,0.0031911331149004,0.0068397057503868,0.0034472116981949,8.973693944507552e-05,0.0093742271132502,0.238420104576365
2018,Glenn,18520,12730,0.2805970149253731,0.423095051060487,0.0380989787902592,0.0027494108405341,0.0102906520031421,0.0029065200314218,0.0,0.001885310290652,0.2403770620581304
2018,Humboldt,105521,78518,0.4385109146947197,0.2277057490002292,0.0318143610382332,0.0236251560151812,0.0104944089253419,0.0045467281387707,0.0024325632339081,0.0030184161593519,0.2578517027942637
2018,Imperial,101197,69728,0.4753327214318494,0.1838716154199174,0.0222579164754474,0.002351996328591,0.0053493575034419,0.0052489674162459,0.0055501376778338,0.0057222349701698,0.294315052776503
2018,Inyo,13689,10036,0.3029095257074531,0.3978676763650857,0.0416500597847748,0.0053806297329613,0.0100637704264647,0.0024910322837783,9.964129135113592e-05,0.0047827819848545,0.2347548824232762
2018,Kern,518711,375881,0.3353774199813238,0.3527579207249103,0.0331142036974468,0.0026045477158994,0.0086303910014073,0.0036793559663829,0.0039613601113118,0.0013807561435667,0.2584940446577507
2018,Kings,80450,52631,0.3236495601451616,0.4078014858163439,0.0262392886321749,0.0021090231992551,0.0082460907069977,0.0027930307233379,0.0046360509965609,0.0027930307233379,0.2217324390568296
2018,Lake,49469,32653,0.3783419593911739,0.266713625088047,0.0397206994763115,0.0099531436621443,0.0110250206719137,0.0050225094172051,3.062505742198267e-05,0.0015006278136771,0.2876917894221051
2018,Lassen,16571,14332,0.1997627686296399,0.4854870220485626,0.0532375104660898,0.003349148758024,0.010466089868825,0.0030700530281886,0.0003488696622941,0.005861010326542,0.2384175272118336
2018,Los Angeles,6230147,5280658,0.5008025515002108,0.1704187243332175,0.0210687758987611,0.0041680411797166,0.0059986842548788,0.0054883311890298,0.0039356837727419,0.0076073852917572,0.2805118225796861
2018,Madera,89818,57418,0.3157372252603713,0.3851405482601275,0.0311052283256121,0.0028039987460378,0.0076108537392455,0.0035528928210665,0.0031697377129123,0.0041450416245776,0.2467344735100491
2018,Marin,181925,160944,0.5556280445372304,0.1481757629983099,0.0221629883686251,0.0081705437916293,0.0063500347947112,0.0015409086390297,0.001590615369321,0.0030072571826225,0.2533738443185207
2018,Mariposa,14933,10853,0.2811204275315581,0.425412328388464,0.0384225559753063,0.0078319358702662,0.011148991062379,0.0027642126600939,0.0008292637980281,0.0127153782364323,0.2197549064774716
2018,Mendocino,64399,49411,0.4724049300762988,0.1976685353463803,0.033433850761976,0.0214122361417498,0.0103418267187468,0.0044322114508915,0.0078727408876565,0.003076238084637,0.2493574305316629
2018,Merced,160905,97584,0.4326016560091818,0.2739076078045581,0.0304455648466961,0.0032997212657812,0.0073577635677979,0.0025926381373995,0.0001639613051319,0.0011374815543531,0.2484936055090998
2018,Modoc,7392,5118,0.2159046502540054,0.4925752246971473,0.0498241500586166,0.0041031652989449,0.0087924970691676,0.0031262211801484,0.0009769441187964,0.0025400547088706,0.2221570926143024
2018,Mono,9542,6597,0.3456116416552978,0.304835531302107,0.0389571017128998,0.008033954827952,0.0100045475216007,0.00439593754737,0.0003031681067151,0.0013642564802182,0.286493860845839
2018,Monterey,244901,187350,0.4922551374432879,0.2053909794502268,0.0236882839605017,0.0051080864691753,0.0068961836135575,0.0033146517213771,0.0030584467574059,0.0009821190285561,0.2593061115559114
2018,Napa,92369,78135,0.455071350867089,0.2209637166442695,0.0299609649964804,0.0072438727842836,0.008664490945159,0.0026876559800345,0.0030332117488961,0.0041338708645293,0.2682408651692583
