county name,Population (January 2023),Median Household Income (2021),Race/Ethnicity: American Indian (2023),Race/Ethnicity: Asian (2023),Race/Ethnicity: Black (2023),Race/Ethnicity: Hispanic (2023),Race/Ethnicity: Multi-Racial/Ethnic (2023),Race/Ethnicity: Hawaiian/ Pacific Island (2023),Race/Ethnicity: White (2023),Age: 0-5 (2023),Age: 6-17 (2023),Age: 18-64 (2023),Age: 65+ (2023)
Alameda,1636194,108971,0.002499092405912746,0.3310010915576026,0.10026500524998869,0.2224895091902305,0.04287816725889473,0.007957491593295172,0.2940415378616472,0.06473743333614473,0.1484139411341198,0.6017379357215586,0.1862425849257484
Alpine,1184,87570,0.18496621621621623,0.016891891891891893,0.004222972972972973,0.11064189189189189,0.02533783783783784,0.0,0.643581081081081,0.056587837837837836,0.0945945945945946,0.5456081081081081,0.28885135135135137
Amador,39837,68159,0.014885659060672239,0.015714034691367323,0.026131485804653964,0.15520747044205135,0.026282099555689435,0.002309410849210533,0.7657705148480056,0.04879885533549213,0.09210030875818963,0.5508195898285514,0.31458192132941737
Butte,205592,62982,0.015851784116113467,0.052322074788902294,0.016741896571851045,0.18733705591657263,0.03911144402505934,0.0022374411455698667,0.6962381804739484,0.06230300789914005,0.13558406941904355,0.6204229736565625,0.19152982606327096
Calaveras,44890,68298,0.012385832033860547,0.016261973713521942,0.008910670527957229,0.1408108710180441,0.034283804856315436,0.0019826241924704832,0.7821118289151259,0.05312987302294497,0.10253954110046781,0.5044998886166184,0.33657830251726445
Colusa,21771,60725,0.013366404850489183,0.012953010886041064,0.007257360709200312,0.6136603738918746,0.012355886270727114,0.00275595976298746,0.3467916035092554,0.014101327453952506,0.016076431950760185,0.012815212897891691,0.0006430572780304074
Contra Costa,1147653,110595,0.002705521616725613,0.18790871456790512,0.08605824234328668,0.2659253276033784,0.04299208907221957,0.004822886360250006,0.4064390543134554,0.06594589131035251,0.14630816109050385,0.5892878770847982,0.1953099063915661
Del Norte,26599,48108,0.07000263167788262,0.03819692469641716,0.036354750178578144,0.18993195232903493,0.035527651415466745,0.001127861949697357,0.6114515583292605,0.05135531410955299,0.1474491522237678,0.5668258205195684,0.21696304372344824
El Dorado,189006,87689,0.007470662307016708,0.050892564257219344,0.009105531041342603,0.13686337999851855,0.03353332698432854,0.001671904595621303,0.7558331481540268,0.05389775985947536,0.1252764462503836,0.5535856004571283,0.2626107107710866
Fresno,1011499,63140,0.005755813896009783,0.10863678560235848,0.04640835037899197,0.5484137898307364,0.01978746395201577,0.0015442427525879908,0.2736987382093309,0.08368767542034149,0.18881877293007704,0.5916674163790572,0.1400713198925555
Glenn,28636,56741,0.01634306467383713,0.025876519066908785,0.007996926945104064,0.4403198770778042,0.017635144573264424,0.0011873166643385949,0.49497136471574243,0.07658192484983936,0.16667830702612096,0.5739977650509848,0.18707221679005448
Humboldt,134047,53924,0.05203398807880818,0.028228904787126904,0.012525457488791246,0.12921587204487978,0.04951994449707938,0.002879587010526159,0.7275134840764806,0.05758428014054772,0.13610897670220146,0.596484815027565,0.21173916611337815
Imperial,179476,50970,0.007482894648866701,0.011795448973678933,0.023017005059172257,0.8592513762285765,0.005594062715906305,0.0007911921371102543,0.09381755777931311,0.09003432213777887,0.21697051416345361,0.5325781720118568,0.16216652922953487
