year,county_name,median_household_income,population,race_american_indian,race_asian,race_black,race_hispanic,race_multi_racial,race_hawaiian_pacific,race_white,age_0_5,age_6_17,age_18_64,age_65_plus
2023,Humboldt,,134047.0,0.0520339880788081,0.0282289047871269,0.0125254574887912,0.1292158720448797,0.0495199444970793,0.0028795870105261,0.7275134840764806,0.0575842801405477,0.1361089767022014,0.596484815027565,0.2117391661133781
2023,Imperial,,179476.0,0.0074828946488667,0.0117954489736789,0.0230170050591722,0.8592513762285765,0.0055940627159063,0.0007911921371102,0.0938175577793131,0.0900343221377788,0.2169705141634536,0.5325781720118568,0.1621665292295348
2023,Inyo,,18896.0,0.1064775613886536,0.0140241320914479,0.0089436917866215,0.2424851820491109,0.0272544453852667,0.0010055038103302,0.6000740897544454,0.0559377646062658,0.1349491955969517,0.5306943268416596,0.2786833192209991
2023,Kern,,907476.0,0.0058502924595251,0.0492883558353058,0.0512520441311946,0.561734965993591,0.0198385411845602,0.0012088473965151,0.3137317130149998,0.0837851359154401,0.1933439562038004,0.594484041451234,0.1312916264452172
2023,Kings,,151018.0,0.0091644704604749,0.0382470963726178,0.0629064085075951,0.5714683017918394,0.0232025321484856,0.0020792223443563,0.3016858917480035,0.0861619144737713,0.1972744970798183,0.591644704604749,0.1336728072150339
2023,Lake,,66800.0,0.0263023952095808,0.0125449101796407,0.017125748502994,0.2409580838323353,0.0358233532934131,0.0026646706586826,0.6735928143712575,0.0664820359281437,0.1399251497005988,0.5429790419161676,0.259625748502994
2023,Lassen,,28275.0,0.027656940760389,0.0138284703801945,0.0804244031830238,0.2072855879752431,0.0315119363395225,0.0077807250221043,0.6416976127320955,0.0505393457117595,0.121025641025641,0.6250044208664899,0.2136162687886826
2023,Los Angeles,,9761210.0,0.0018735382191347,0.1502074025658704,0.0793629068527364,0.48810905615185,0.0226871463681244,0.002200649304748,0.2544175363505139,0.0636921037453348,0.1603280740809797,0.599604762114533,0.1752332958721306
2023,Madera,,158148.0,0.0101360750689227,0.0223082176189392,0.0299150163138326,0.6033335862609708,0.0164972051496066,0.0012203758504691,0.3173988921769481,0.0801401219111212,0.1804891620507372,0.5755874244378684,0.1645926600399625
2023,Marin,,252959.0,0.0019133535474128,0.0665127550314477,0.023652054285477,0.1671338042923952,0.0348594040931534,0.0017117398471689,0.6996667444131263,0.0515972944232069,0.1253286105653485,0.5267296281215533,0.2917943224000727
2023,Mariposa,,16935.0,0.0268083850014762,0.0150575730735163,0.0105107764983761,0.1376439326837909,0.0299379982285208,0.0017124298789489,0.7814585178624152,0.0518452908178328,0.1092412164157071,0.4893416002361972,0.3527015057573073
2023,Mendocino,,89164.0,0.0390067740343636,0.0210847427212776,0.0076263963034408,0.2727558207348257,0.0284980485397694,0.0013682652191467,0.6288524516621058,0.0637140549997757,0.1465277466241981,0.5410255259970391,0.2479251715939168
