YEAR,COUNTY,PYMT_AMT,PYMT_PCT,PYMT_PC,PYMT_PER_USER,STDZ_PYMT_AMT,STDZ_PYMT_PCT,STDZ_PYMT_PC,STDZ_PYMT_PER_USER,USER_CNT,USER_PCT,VISITS_PER_1000,AVG_AGE,FEML_PCT,MALE_PCT,RACE_WHT_PCT,RACE_BLACK_PCT,RACE_HSPNC_PCT,RACE_OTHR_PCT,DUAL_PCT
2014,Riverside,38630682.11,0.0315,339.57,24763.26,36245908.77,0.0345,318.61,23234.56,1560,0.0137,1853.7837,72.0,0.5239,0.4761,0.724,0.0546,0.1627,0.0588,0.1821
2014,Sacramento,43625110.7,0.045,453.15,30983.74,35620000.42,0.0496,370.0,25298.3,1408,0.0146,2009.7018,69.0,0.5361,0.4639,0.6484,0.1097,0.1041,0.1378,0.3286
2014,San Benito,1801585.72,0.0287,282.96,33362.7,1393827.5,0.0311,218.91,25811.62,54,0.0085,1384.6395,72.0,0.5348,0.4652,0.5786,0.0077,0.3769,0.0368,0.2229
2014,San Bernardino,47114951.07,0.0506,580.0,25481.31,44337960.01,0.0576,545.81,23979.43,1849,0.0228,3186.4021,69.0,0.5159,0.4841,0.6025,0.0944,0.2267,0.0763,0.3069
2014,San Diego,70076066.45,0.0351,360.11,27056.4,64244279.7,0.0377,330.14,24804.74,2590,0.0133,1963.3394,72.0,0.532,0.468,0.7072,0.0432,0.1399,0.1097,0.1783
2014,San Francisco,22289092.83,0.0317,330.12,30701.23,17473262.11,0.0373,258.79,24067.85,726,0.0108,1482.8194,72.0,0.5283,0.4717,0.4469,0.0926,0.1021,0.3584,0.5156
2014,San Joaquin,23913332.84,0.0444,443.36,28001.56,20704730.11,0.0497,383.88,24244.41,854,0.0158,2127.2063,70.0,0.5369,0.4631,0.5916,0.0754,0.2189,0.1141,0.3191
2014,San Luis Obispo,5396544.27,0.015,118.91,25697.83,4791426.47,0.0156,105.57,22816.32,210,0.0046,687.8704,72.0,0.5442,0.4558,0.8789,0.0075,0.0775,0.0361,0.1373
2014,San Mateo,15666758.04,0.0314,299.63,30244.71,12306804.84,0.034,235.37,23758.31,518,0.0099,1368.8297,74.0,0.5544,0.4456,0.6882,0.0308,0.1035,0.1775,0.0837
2014,Santa Barbara,11412406.0,0.0243,209.43,27107.85,10223880.54,0.0256,187.62,24284.75,421,0.0077,1132.8978,72.0,0.5451,0.4549,0.7395,0.0202,0.1881,0.0522,0.2073
2014,Santa Clara,45882511.56,0.0363,373.23,31708.72,35540507.52,0.0398,289.1,24561.51,1447,0.0118,1752.7779,73.0,0.5488,0.4512,0.5391,0.0253,0.1472,0.2885,0.3261
2014,Santa Cruz,7140568.52,0.023,205.99,32605.34,5418669.78,0.0238,156.32,24742.78,219,0.0063,935.697,72.0,0.5428,0.4572,0.7805,0.0086,0.1592,0.0518,0.2092
2014,Shasta,4909471.27,0.0134,122.96,28215.35,4112156.52,0.0141,102.99,23633.08,174,0.0044,602.4646,70.0,0.5275,0.4725,0.9187,0.0072,0.0335,0.0406,0.2374
2014,Sierra,,,,,,,,,0,,,71.0,0.5203,0.4797,,,,,0.1861
2014,Siskiyou,1214849.82,0.0149,115.21,28925.0,1096431.0,0.017,103.98,26105.5,42,0.004,717.1171,71.0,0.5136,0.4864,0.8934,0.0121,0.0413,0.0532,0.2217
2014,Solano,14711903.78,0.054,507.32,30649.8,11730476.44,0.0584,404.51,24438.49,480,0.0166,2348.5637,70.0,0.5386,0.4614,0.5718,0.158,0.127,0.1433,0.1876
2014,Sonoma,10128471.49,0.0217,205.85,31357.5,7921818.53,0.0227,161.01,24525.75,323,0.0066,937.0351,72.0,0.5523,0.4477,0.8527,0.0132,0.0805,0.0536,0.211
2014,Stanislaus,18967413.84,0.0477,487.02,28608.47,16519719.18,0.0522,424.17,24916.62,663,0.017,2471.422,69.0,0.5309,0.4691,0.6693,0.0298,0.2351,0.0658,0.3895
2014,Sutter,3271694.69,0.0253,230.34,24056.58,3039603.78,0.029,214.0,22350.03,136,0.0096,1158.8989,71.0,0.5435,0.4565,0.7175,0.0187,0.1295,0.1343,0.2762
2014,Tehama,1756786.19,0.0163,133.07,23423.82,1571279.75,0.0181,119.02,20950.4,75,0.0057,640.206,70.0,0.528,0.472,0.8912,0.0053,0.069,0.0345,0.2555
2014,Trinity,,,,,,,,,0,,,70.0,0.4829,0.5171,,,,,0.2245
2014,Tulare,17189515.92,0.0412,377.72,23104.19,17146193.03,0.0476,376.76,23045.96,744,0.0163,2239.1615,71.0,0.5317,0.4683,0.5999,0.0133,0.3411,0.0457,0.379
2014,Tuolumne,1306981.55,0.0108,99.23,24660.03,1161272.72,0.0124,88.17,21910.81,53,0.004,489.3326,72.0,0.529,0.471,0.9195,0.0036,0.0475,0.0295,0.1566
2014,Ventura,25438119.51,0.0304,318.6,27177.48,22585756.29,0.032,282.87,24130.08,936,0.0117,1600.3832,72.0,0.5465,0.4535,0.6871,0.0178,0.2182,0.0769,0.2353
2014,Yolo,3790024.44,0.0371,307.33,28712.31,3082528.34,0.0402,249.96,23352.49,132,0.0107,1364.4178,71.0,0.5279,0.4721,0.7109,0.0267,0.1692,0.0933,0.2221
2014,Yuba,2377672.64,0.0264,243.02,22430.87,2210334.14,0.0304,225.91,20852.21,106,0.0108,1260.834,69.0,0.5209,0.4791,0.7924,0.0254,0.1162,0.0659,0.3244
2014,nan,,,,,,,,,0,,,,,,,,,,
2015,Alameda,47112751.89,0.0411,470.85,33084.8,35654202.1,0.0434,356.33,25038.06,1424,0.0142,2040.3062,71.0,0.5434,0.4566,0.4633,0.1601,0.1229,0.2537,0.3803
2015,Alpine,,,,,,,,,0,,,70.0,0.5408,0.4592,,,,,0.2347
2015,Amador,589641.75,0.0084,76.92,31033.78,491341.65,0.0091,64.09,25860.09,19,0.0025,468.1711,72.0,0.5286,0.4714,0.9241,0.0037,0.0424,0.0299,0.1271
2015,Butte,6792032.19,0.0149,150.7,23501.84,6330156.65,0.0164,140.45,21903.66,289,0.0064,796.623,71.0,0.5413,0.4587,0.8899,0.0114,0.0587,0.0399,0.2446
2015,Calaveras,1240052.14,0.0134,124.03,27556.71,1066177.0,0.0154,106.64,23692.82,45,0.0045,741.4483,72.0,0.5135,0.4865,0.9157,0.0052,0.0489,0.0302,0.1457
2015,Colusa,1106375.03,0.0381,374.66,25144.89,991915.84,0.0448,335.9,22543.54,44,0.0149,2036.2343,72.0,0.5117,0.4883,0.658,0.0132,0.2817,0.0471,0.2807
2015,Contra Costa,29492481.07,0.0349,384.51,31208.97,22364258.38,0.0358,291.58,23665.88,945,0.0123,1643.4336,71.0,0.5514,0.4486,0.6519,0.0981,0.118,0.132,0.2605
