YEAR,COUNTY,PYMT_AMT,PYMT_PCT,PYMT_PC,PYMT_PER_USER,STDZ_PYMT_AMT,STDZ_PYMT_PCT,STDZ_PYMT_PC,STDZ_PYMT_PER_USER,USER_CNT,USER_PCT,VISITS_PER_1000
2022,Siskiyou,1411608.48,0.0115,111.87,27146.32,1238104.26,0.0127,98.12,23809.7,52,0.0041,603.0274
2022,Solano,16738344.76,0.0394,522.94,36868.6,11821706.86,0.0394,369.34,26039.0,454,0.0142,2057.5481
2022,Sonoma,10972593.41,0.0169,238.87,37069.57,7744000.57,0.0167,168.58,26162.16,296,0.0064,907.9807
2022,Stanislaus,17198484.88,0.0371,499.06,32821.54,14496227.87,0.0396,420.64,27664.56,524,0.0152,2096.6572
2022,Sutter,3396920.59,0.0182,239.61,29283.8,2882247.08,0.0198,203.3,24846.96,116,0.0082,1015.6592
2022,Tehama,2430321.66,0.0175,198.83,31157.97,2084558.18,0.0188,170.54,26725.1,78,0.0064,820.9114
2022,Trinity,408129.66,0.0115,125.62,27208.64,336034.34,0.0122,103.43,22402.29,15,0.0046,606.0326
2022,Tulare,15177343.43,0.0299,370.65,24638.54,15208815.36,0.0347,371.42,24689.64,616,0.015,1976.2626
2022,Tuolumne,1664800.5,0.0097,116.44,28703.46,1415792.21,0.0108,99.03,24410.21,58,0.0041,548.2968
2022,nan,,,,,,,,,0,,
2022,Ventura,21729149.0,0.0179,262.32,29443.29,18013972.82,0.0183,217.47,24409.18,738,0.0089,1178.552
2022,Yolo,5950381.05,0.0336,427.22,37900.52,4299935.53,0.0332,308.73,27388.12,157,0.0113,1546.8122
2022,Yuba,3104998.74,0.0242,325.37,29571.42,2607323.16,0.0263,273.22,24831.65,105,0.011,1376.6111
